0.33451924,0.35264254

0.24369213,0.2540354

0.14398931,0.21044193

0.15120097,0.21940906

0.29075408,0.39807445

0.52646875,0.5724133

0.3645848,0.36393288

0.20008895,0.22919278

0.2546586,0.24196212

0.43373936,0.4142181

0.26557258,0.30195236

0.2801245,0.32378024

0.15854795,0.21771751

0.22349866,0.34765446

0.12005341,0.1486461

0.10186352,0.119435236

0.1989796,0.21282187

0.15410262,0.21427937

0.083162025,0.10186351

0.10640211,0.12752832

0.190994,0.24277835

0.27523595,0.26386726

0.11368695,0.1218724

0.11321754,0.104441

0.24010672,0.2255548

0.4988042,0.49368653

0.22999212,0.23766242

0.18010582,0.23101132

0.17562401,0.26200116

0.45009512,0.63732135

0.22191676,0.26811627

0.18149532,0.22247143

0.24006407,0.24641633

0.57922834,0.611344

0.26193458,0.33105618

0.18937752,0.30268955

0.28595525,0.27570745

0.18457058,0.22117774

0.1032845,0.111526795

0.17098501,0.21464075

0.16905244,0.21827884

0.24424297,0.22664815

0.11391342,0.1206689

0.090153776,0.102318265

0.16890943,0.19156243

0.28917724,0.48612502

0.18008006,0.2284627

0.17243463,0.13557166

0.11397915,0.12369139

0.120053366,0.15131724

0.08458312,0.11635859

0.13096713,0.15597823

0.14141832,0.16376178

0.15841416,0.22119372

0.07310776,0.09654146

0.15281239,0.19028908

0.17022662,0.16217439

0.21575242,0.20509116

0.15186197,0.16120084

0.13096724,0.14179592

0.13596956,0.15032431

0.2653452,0.27409908

0.168484,0.18519597

0.19463198,0.20713753

0.26174983,0.24260782

0.43375093,0.44233516

0.2764865,0.33833215

0.3265087,0.32378024

0.3172468,0.34231117

0.20122582,0.35911995

0.16423318,0.16629775

0.13998413,0.15900181

0.16115104,0.20398921

0.2465307,0.38382

0.15144509,0.23696601

0.18252404,0.1901979

0.21674624,0.23590024

0.4283503,0.41049215

0.26997787,0.30868825

0.16470475,0.21077545

0.15526956,0.25405276

0.13602874,0.25195158

0.12842898,0.15926054

0.15051463,0.18151206

0.15788804,0.17605306

0.18140878,0.2531807

0.08052436,0.10972412

0.15538692,0.18457069

0.20295954,0.26634884

0.089016795,0.15256773

0.104478315,0.11925738

0.16473234,0.21020707

0.21668722,0.2701085

0.2211068,0.31581149

0.18166013,0.20719437

0.18440016,0.2764865

0.18892366,0.28535053

0.26692525,0.32480252

0.19754608,0.23984113

0.34197012,0.41109172

0.38562587,0.39809412

0.29103842,0.34810922

0.11550594,0.1582522

0.1564332,0.21597669

0.16610901,0.24238044

